"region","type of property","variable","value","year"
"1482 Kungälv","total","residential","1646",2020
"1484 Lysekil","one- or two dwelling buildings","residential","423",2020
"1484 Lysekil","multi-dwelling and commercial buildings","residential","232",2020
"1484 Lysekil","industrial buildings","residential","4",2020
"1484 Lysekil","total","residential","659",2020
"1485 Uddevalla","one- or two dwelling buildings","residential","1060",2020
"1485 Uddevalla","multi-dwelling and commercial buildings","residential","964",2020
"1485 Uddevalla","industrial buildings","residential","5",2020
"1485 Uddevalla","total","residential","2029",2020
"1486 Strömstad","one- or two dwelling buildings","residential","260",2020
"1486 Strömstad","multi-dwelling and commercial buildings","residential","181",2020
"1486 Strömstad","industrial buildings","residential",NA,2020
"1486 Strömstad","total","residential","441",2020
"1487 Vänersborg","one- or two dwelling buildings","residential","796",2020
"1487 Vänersborg","multi-dwelling and commercial buildings","residential","610",2020
"1487 Vänersborg","industrial buildings","residential",NA,2020
"1487 Vänersborg","total","residential","1406",2020
"1488 Trollhättan","one- or two dwelling buildings","residential","1140",2020
"1488 Trollhättan","multi-dwelling and commercial buildings","residential","1095",2020
"1488 Trollhättan","industrial buildings","residential",NA,2020
"1488 Trollhättan","total","residential","2235",2020
"1489 Alingsås","one- or two dwelling buildings","residential","951",2020
"1489 Alingsås","multi-dwelling and commercial buildings","residential","591",2020
"1489 Alingsås","industrial buildings","residential",NA,2020
"1489 Alingsås","total","residential","1542",2020
"1490 Borås","one- or two dwelling buildings","residential","2116",2020
"1490 Borås","multi-dwelling and commercial buildings","residential","2116",2020
"1490 Borås","industrial buildings","residential",NA,2020
"1490 Borås","total","residential","4232",2020
"1491 Ulricehamn","one- or two dwelling buildings","residential","538",2020
"1491 Ulricehamn","multi-dwelling and commercial buildings","residential","261",2020
"1491 Ulricehamn","industrial buildings","residential",NA,2020
"1491 Ulricehamn","total","residential","799",2020
"1492 Åmål","one- or two dwelling buildings","residential","321",2020
"1492 Åmål","multi-dwelling and commercial buildings","residential","179",2020
"1492 Åmål","industrial buildings","residential",NA,2020
"1492 Åmål","total","residential","500",2020
"1493 Mariestad","one- or two dwelling buildings","residential","544",2020
"1493 Mariestad","multi-dwelling and commercial buildings","residential","381",2020
"1493 Mariestad","industrial buildings","residential",NA,2020
"1493 Mariestad","total","residential","925",2020
"1494 Lidköping","one- or two dwelling buildings","residential","851",2020
"1494 Lidköping","multi-dwelling and commercial buildings","residential","594",2020
"1494 Lidköping","industrial buildings","residential",NA,2020
"1494 Lidköping","total","residential","1445",2020
"1495 Skara","one- or two dwelling buildings","residential","380",2020
"1495 Skara","multi-dwelling and commercial buildings","residential","304",2020
"1495 Skara","industrial buildings","residential",NA,2020
"1495 Skara","total","residential","683",2020
"1496 Skövde","one- or two dwelling buildings","residential","1158",2020
"1496 Skövde","multi-dwelling and commercial buildings","residential","1050",2020
"1496 Skövde","industrial buildings","residential",NA,2020
"1496 Skövde","total","residential","2208",2020
"1497 Hjo","one- or two dwelling buildings","residential","231",2020
"1497 Hjo","multi-dwelling and commercial buildings","residential","105",2020
"1497 Hjo","industrial buildings","residential",NA,2020
"1497 Hjo","total","residential","335",2020
"1498 Tidaholm","one- or two dwelling buildings","residential","289",2020
"1498 Tidaholm","multi-dwelling and commercial buildings","residential","152",2020
"1498 Tidaholm","industrial buildings","residential",NA,2020
"1498 Tidaholm","total","residential","442",2020
"1499 Falköping","one- or two dwelling buildings","residential","660",2020
"1499 Falköping","multi-dwelling and commercial buildings","residential","462",2020
"1499 Falköping","industrial buildings","residential",NA,2020
"1499 Falköping","total","residential","1121",2020
"1715 Kil","one- or two dwelling buildings","residential","320",2020
"1715 Kil","multi-dwelling and commercial buildings","residential","108",2020
"1715 Kil","industrial buildings","residential",NA,2020
"1715 Kil","total","residential","428",2020
"1730 Eda","one- or two dwelling buildings","residential","169",2020
"1730 Eda","multi-dwelling and commercial buildings","residential","70",2020
"1730 Eda","industrial buildings","residential",NA,2020
"1730 Eda","total","residential","239",2020
"1737 Torsby","one- or two dwelling buildings","residential","191",2020
"1737 Torsby","multi-dwelling and commercial buildings","residential","102",2020
"1737 Torsby","industrial buildings","residential",NA,2020
"1737 Torsby","total","residential","293",2020
"1760 Storfors","one- or two dwelling buildings","residential","92",2020
"1760 Storfors","multi-dwelling and commercial buildings","residential","30",2020
"1760 Storfors","industrial buildings","residential",NA,2020
"1760 Storfors","total","residential","122",2020
"1761 Hammarö","one- or two dwelling buildings","residential","556",2020
"1761 Hammarö","multi-dwelling and commercial buildings","residential","166",2020
"1761 Hammarö","industrial buildings","residential",NA,2020
"1761 Hammarö","total","residential","721",2020
"1762 Munkfors","one- or two dwelling buildings","residential","123",2020
"1762 Munkfors","multi-dwelling and commercial buildings","residential","46",2020
"1762 Munkfors","industrial buildings","residential",NA,2020
"1762 Munkfors","total","residential","170",2020
"1763 Forshaga","one- or two dwelling buildings","residential","367",2020
"1763 Forshaga","multi-dwelling and commercial buildings","residential","94",2020
"1763 Forshaga","industrial buildings","residential",NA,2020
"1763 Forshaga","total","residential","460",2020
"1764 Grums","one- or two dwelling buildings","residential","218",2020
"1764 Grums","multi-dwelling and commercial buildings","residential","102",2020
"1764 Grums","industrial buildings","residential",NA,2020
"1764 Grums","total","residential","320",2020
"1765 Årjäng","one- or two dwelling buildings","residential","138",2020
"1765 Årjäng","multi-dwelling and commercial buildings","residential","88",2020
"1765 Årjäng","industrial buildings","residential",NA,2020
"1765 Årjäng","total","residential","227",2020
"1766 Sunne","one- or two dwelling buildings","residential","227",2020
"1766 Sunne","multi-dwelling and commercial buildings","residential","98",2020
"1766 Sunne","industrial buildings","residential",NA,2020
"1766 Sunne","total","residential","324",2020
"1780 Karlstad","one- or two dwelling buildings","residential","1707",2020
"1780 Karlstad","multi-dwelling and commercial buildings","residential","2088",2020
"1780 Karlstad","industrial buildings","residential",NA,2020
"1780 Karlstad","total","residential","3794",2020
"1781 Kristinehamn","one- or two dwelling buildings","residential","554",2020
"1781 Kristinehamn","multi-dwelling and commercial buildings","residential","418",2020
"1781 Kristinehamn","industrial buildings","residential",NA,2020
"1781 Kristinehamn","total","residential","973",2020
"1782 Filipstad","one- or two dwelling buildings","residential","270",2020
"1782 Filipstad","multi-dwelling and commercial buildings","residential","150",2020
"1782 Filipstad","industrial buildings","residential",NA,2020
"1782 Filipstad","total","residential","421",2020
"1783 Hagfors","one- or two dwelling buildings","residential","289",2020
"1783 Hagfors","multi-dwelling and commercial buildings","residential","120",2020
"1783 Hagfors","industrial buildings","residential",NA,2020
"1783 Hagfors","total","residential","409",2020
"1784 Arvika","one- or two dwelling buildings","residential","453",2020
"1784 Arvika","multi-dwelling and commercial buildings","residential","362",2020
"1784 Arvika","industrial buildings","residential",NA,2020
"1784 Arvika","total","residential","814",2020
"1785 Säffle","one- or two dwelling buildings","residential","333",2020
"1785 Säffle","multi-dwelling and commercial buildings","residential","186",2020
"1785 Säffle","industrial buildings","residential",NA,2020
"1785 Säffle","total","residential","519",2020
"1814 Lekeberg","one- or two dwelling buildings","residential","190",2020
"1814 Lekeberg","multi-dwelling and commercial buildings","residential","39",2020
"1814 Lekeberg","industrial buildings","residential",NA,2020
"1814 Lekeberg","total","residential","229",2020
"1860 Laxå","one- or two dwelling buildings","residential","153",2020
"1860 Laxå","multi-dwelling and commercial buildings","residential","60",2020
"1860 Laxå","industrial buildings","residential",NA,2020
"1860 Laxå","total","residential","214",2020
"1861 Hallsberg","one- or two dwelling buildings","residential","412",2020
"1861 Hallsberg","multi-dwelling and commercial buildings","residential","172",2020
"1861 Hallsberg","industrial buildings","residential",NA,2020
"1861 Hallsberg","total","residential","584",2020
"1862 Degerfors","one- or two dwelling buildings","residential","274",2020
"1862 Degerfors","multi-dwelling and commercial buildings","residential","102",2020
"1862 Degerfors","industrial buildings","residential",NA,2020
"1862 Degerfors","total","residential","376",2020
"1863 Hällefors","one- or two dwelling buildings","residential","177",2020
"1863 Hällefors","multi-dwelling and commercial buildings","residential","88",2020
"1863 Hällefors","industrial buildings","residential",NA,2020
"1863 Hällefors","total","residential","265",2020
"1864 Ljusnarsberg","one- or two dwelling buildings","residential","137",2020
"1864 Ljusnarsberg","multi-dwelling and commercial buildings","residential","57",2020
"1864 Ljusnarsberg","industrial buildings","residential",NA,2020
"1864 Ljusnarsberg","total","residential","194",2020
"1880 Örebro","one- or two dwelling buildings","residential","2345",2020
"1880 Örebro","multi-dwelling and commercial buildings","residential","3476",2020
"1880 Örebro","industrial buildings","residential",NA,2020
"1880 Örebro","total","residential","5822",2020
"1881 Kumla","one- or two dwelling buildings","residential","567",2020
"1881 Kumla","multi-dwelling and commercial buildings","residential","281",2020
"1881 Kumla","industrial buildings","residential",NA,2020
"1881 Kumla","total","residential","848",2020
"1882 Askersund","one- or two dwelling buildings","residential","269",2020
"1882 Askersund","multi-dwelling and commercial buildings","residential","122",2020
"1882 Askersund","industrial buildings","residential",NA,2020
"1882 Askersund","total","residential","391",2020
