"nuts","year","value","level","indicator","type.of.building"
"480","1999",2822,"laucode","bldn_sec","all"
"480","2000",2838,"laucode","bldn_sec","all"
"480","2001",2788,"laucode","bldn_sec","all"
"480","2002",2777,"laucode","bldn_sec","all"
"480","2003",2999,"laucode","bldn_sec","all"
"480","2004",3041,"laucode","bldn_sec","all"
"480","2005",2988,"laucode","bldn_sec","all"
"480","2006",2978,"laucode","bldn_sec","all"
"480","2007",2993,"laucode","bldn_sec","all"
"480","2008",3001,"laucode","bldn_sec","all"
"480","2009",2993,"laucode","bldn_sec","all"
"480","2010",3036,"laucode","bldn_sec","all"
"480","2011",3009,"laucode","bldn_sec","all"
"480","2012",3136,"laucode","bldn_sec","all"
"480","2013",3076,"laucode","bldn_sec","all"
"480","2014",3115,"laucode","bldn_sec","all"
"480","2015",3142,"laucode","bldn_sec","all"
"480","2016",3178,"laucode","bldn_sec","all"
"480","2017",3165,"laucode","bldn_sec","all"
"480","2018",3242,"laucode","bldn_sec","all"
"480","2019",3231,"laucode","bldn_sec","all"
"480","2020",3252,"laucode","bldn_sec","all"
"480","2021",3239,"laucode","bldn_sec","all"
"480","2022",3249,"laucode","bldn_sec","all"
"480","2023",3304,"laucode","bldn_sec","all"
"480","2024",3377,"laucode","bldn_sec","all"
"481","1998",488,"laucode","bldn_sec","all"
"481","1999",491,"laucode","bldn_sec","all"
"481","2000",486,"laucode","bldn_sec","all"
"481","2001",475,"laucode","bldn_sec","all"
"481","2002",470,"laucode","bldn_sec","all"
"481","2003",555,"laucode","bldn_sec","all"
"481","2004",558,"laucode","bldn_sec","all"
"481","2005",611,"laucode","bldn_sec","all"
"481","2006",728,"laucode","bldn_sec","all"
"481","2007",730,"laucode","bldn_sec","all"
"481","2008",712,"laucode","bldn_sec","all"
"481","2009",749,"laucode","bldn_sec","all"
"481","2010",736,"laucode","bldn_sec","all"
"481","2011",728,"laucode","bldn_sec","all"
"481","2012",751,"laucode","bldn_sec","all"
"481","2013",758,"laucode","bldn_sec","all"
"481","2014",768,"laucode","bldn_sec","all"
"481","2015",664,"laucode","bldn_sec","all"
"481","2016",672,"laucode","bldn_sec","all"
"481","2017",673,"laucode","bldn_sec","all"
"481","2018",809,"laucode","bldn_sec","all"
"481","2019",806,"laucode","bldn_sec","all"
"481","2020",817,"laucode","bldn_sec","all"
"481","2021",834,"laucode","bldn_sec","all"
"481","2022",824,"laucode","bldn_sec","all"
"481","2023",835,"laucode","bldn_sec","all"
"481","2024",862,"laucode","bldn_sec","all"
"482","1998",2414,"laucode","bldn_sec","all"
"482","1999",2434,"laucode","bldn_sec","all"
"482","2000",2461,"laucode","bldn_sec","all"
"482","2001",2448,"laucode","bldn_sec","all"
"482","2002",2450,"laucode","bldn_sec","all"
"482","2003",2472,"laucode","bldn_sec","all"
"482","2004",2487,"laucode","bldn_sec","all"
"482","2005",2497,"laucode","bldn_sec","all"
"482","2006",2510,"laucode","bldn_sec","all"
"482","2007",2498,"laucode","bldn_sec","all"
"482","2008",2504,"laucode","bldn_sec","all"
"482","2009",2534,"laucode","bldn_sec","all"
"482","2010",2527,"laucode","bldn_sec","all"
"482","2011",2545,"laucode","bldn_sec","all"
"482","2012",2552,"laucode","bldn_sec","all"
"482","2013",2569,"laucode","bldn_sec","all"
"482","2014",2606,"laucode","bldn_sec","all"
"482","2015",2626,"laucode","bldn_sec","all"
"482","2016",2638,"laucode","bldn_sec","all"
"482","2017",2651,"laucode","bldn_sec","all"
"482","2018",2726,"laucode","bldn_sec","all"
"482","2019",2744,"laucode","bldn_sec","all"
