"year","level","nuts","type.of.building","value","measure"
2014,"laucode","1260","house",1187,"price_m2"
2015,"laucode","1260","house",1237,"price_m2"
2016,"laucode","1260","house",1308,"price_m2"
2017,"laucode","1260","house",1374,"price_m2"
2018,"laucode","1260","house",1415,"price_m2"
2019,"laucode","1260","house",1376,"price_m2"
2020,"laucode","1260","house",1421,"price_m2"
2021,"laucode","1260","house",1516,"price_m2"
2022,"laucode","1260","house",1551,"price_m2"
2023,"laucode","1260","house",1456,"price_m2"
2024,"laucode","1260","house",1433,"price_m2"
2013,"laucode","1261","all",2154,"price_m2"
2014,"laucode","1261","all",2179,"price_m2"
2015,"laucode","1261","all",2284,"price_m2"
2016,"laucode","1261","all",2426,"price_m2"
2017,"laucode","1261","all",2565,"price_m2"
2018,"laucode","1261","all",2658,"price_m2"
2019,"laucode","1261","all",2634,"price_m2"
2020,"laucode","1261","all",2732,"price_m2"
2021,"laucode","1261","all",2921,"price_m2"
2022,"laucode","1261","all",2994,"price_m2"
2023,"laucode","1261","all",2822,"price_m2"
2024,"laucode","1261","all",3019,"price_m2"
2013,"laucode","1261","flat",2006,"price_m2"
2014,"laucode","1261","flat",2029,"price_m2"
2015,"laucode","1261","flat",2126,"price_m2"
2016,"laucode","1261","flat",2259,"price_m2"
2017,"laucode","1261","flat",2388,"price_m2"
2018,"laucode","1261","flat",2474,"price_m2"
2019,"laucode","1261","flat",2452,"price_m2"
2020,"laucode","1261","flat",2544,"price_m2"
2021,"laucode","1261","flat",2720,"price_m2"
2022,"laucode","1261","flat",2788,"price_m2"
2023,"laucode","1261","flat",2627,"price_m2"
2024,"laucode","1261","flat",2811,"price_m2"
2013,"laucode","1261","house",2246,"price_m2"
2014,"laucode","1261","house",2272,"price_m2"
2015,"laucode","1261","house",2381,"price_m2"
2016,"laucode","1261","house",2530,"price_m2"
2017,"laucode","1261","house",2674,"price_m2"
2018,"laucode","1261","house",2771,"price_m2"
2019,"laucode","1261","house",2746,"price_m2"
2020,"laucode","1261","house",2849,"price_m2"
2021,"laucode","1261","house",3046,"price_m2"
2022,"laucode","1261","house",3122,"price_m2"
2023,"laucode","1261","house",2942,"price_m2"
2024,"laucode","1261","house",3148,"price_m2"
2013,"laucode","1262","all",2903,"price_m2"
2014,"laucode","1262","all",3045,"price_m2"
2015,"laucode","1262","all",3231,"price_m2"
2016,"laucode","1262","all",3468,"price_m2"
2017,"laucode","1262","all",3690,"price_m2"
2018,"laucode","1262","all",3855,"price_m2"
2019,"laucode","1262","all",3935,"price_m2"
2020,"laucode","1262","all",4041,"price_m2"
2021,"laucode","1262","all",4283,"price_m2"
2022,"laucode","1262","all",4363,"price_m2"
2023,"laucode","1262","all",4019,"price_m2"
2024,"laucode","1262","all",4443,"price_m2"
2013,"laucode","1262","flat",2704,"price_m2"
2014,"laucode","1262","flat",2836,"price_m2"
2015,"laucode","1262","flat",3009,"price_m2"
2016,"laucode","1262","flat",3230,"price_m2"
2017,"laucode","1262","flat",3437,"price_m2"
2018,"laucode","1262","flat",3590,"price_m2"
2019,"laucode","1262","flat",3664,"price_m2"
2020,"laucode","1262","flat",3764,"price_m2"
2021,"laucode","1262","flat",3989,"price_m2"
2022,"laucode","1262","flat",4063,"price_m2"
2023,"laucode","1262","flat",3743,"price_m2"
2024,"laucode","1262","flat",4137,"price_m2"
2013,"laucode","1262","house",3017,"price_m2"
2014,"laucode","1262","house",3165,"price_m2"
2015,"laucode","1262","house",3358,"price_m2"
2016,"laucode","1262","house",3604,"price_m2"
2017,"laucode","1262","house",3835,"price_m2"
2018,"laucode","1262","house",4006,"price_m2"
2019,"laucode","1262","house",4089,"price_m2"
2020,"laucode","1262","house",4200,"price_m2"
2021,"laucode","1262","house",4451,"price_m2"
2022,"laucode","1262","house",4534,"price_m2"
2023,"laucode","1262","house",4177,"price_m2"
2024,"laucode","1262","house",4617,"price_m2"
2013,"laucode","1263","all",2031,"price_m2"
2014,"laucode","1263","all",2042,"price_m2"
2015,"laucode","1263","all",2131,"price_m2"
2016,"laucode","1263","all",2252,"price_m2"
2017,"laucode","1263","all",2367,"price_m2"
2018,"laucode","1263","all",2446,"price_m2"
2019,"laucode","1263","all",2384,"price_m2"
2020,"laucode","1263","all",2463,"price_m2"
2021,"laucode","1263","all",2631,"price_m2"
2022,"laucode","1263","all",2701,"price_m2"
2023,"laucode","1263","all",2559,"price_m2"
2024,"laucode","1263","all",2670,"price_m2"
2013,"laucode","1263","flat",1910,"price_m2"
2014,"laucode","1263","flat",1920,"price_m2"
2015,"laucode","1263","flat",2004,"price_m2"
2016,"laucode","1263","flat",2118,"price_m2"
2017,"laucode","1263","flat",2226,"price_m2"
2018,"laucode","1263","flat",2301,"price_m2"
2019,"laucode","1263","flat",2242,"price_m2"
2020,"laucode","1263","flat",2316,"price_m2"
2021,"laucode","1263","flat",2474,"price_m2"
2022,"laucode","1263","flat",2540,"price_m2"
2023,"laucode","1263","flat",2407,"price_m2"
2024,"laucode","1263","flat",2511,"price_m2"
2013,"laucode","1263","house",2139,"price_m2"
2014,"laucode","1263","house",2150,"price_m2"
2015,"laucode","1263","house",2244,"price_m2"
2016,"laucode","1263","house",2371,"price_m2"
2017,"laucode","1263","house",2492,"price_m2"
2018,"laucode","1263","house",2576,"price_m2"
2019,"laucode","1263","house",2510,"price_m2"
2020,"laucode","1263","house",2593,"price_m2"
2021,"laucode","1263","house",2770,"price_m2"
2022,"laucode","1263","house",2844,"price_m2"
2023,"laucode","1263","house",2695,"price_m2"
2024,"laucode","1263","house",2811,"price_m2"
2013,"laucode","1264","all",1670,"price_m2"
2014,"laucode","1264","all",1671,"price_m2"
2015,"laucode","1264","all",1758,"price_m2"
2016,"laucode","1264","all",1873,"price_m2"
2017,"laucode","1264","all",1981,"price_m2"
2018,"laucode","1264","all",2057,"price_m2"
2019,"laucode","1264","all",2049,"price_m2"
2020,"laucode","1264","all",2141,"price_m2"
2021,"laucode","1264","all",2305,"price_m2"
2022,"laucode","1264","all",2379,"price_m2"
2023,"laucode","1264","all",2293,"price_m2"
2024,"laucode","1264","all",2348,"price_m2"
2013,"laucode","1264","flat",2603,"price_m2"
2014,"laucode","1264","flat",2605,"price_m2"
2015,"laucode","1264","flat",2740,"price_m2"
2016,"laucode","1264","flat",2919,"price_m2"
2017,"laucode","1264","flat",3088,"price_m2"
2018,"laucode","1264","flat",3206,"price_m2"
2019,"laucode","1264","flat",3194,"price_m2"
2020,"laucode","1264","flat",3337,"price_m2"
2021,"laucode","1264","flat",3593,"price_m2"
2022,"laucode","1264","flat",3708,"price_m2"
2023,"laucode","1264","flat",3574,"price_m2"
2024,"laucode","1264","flat",3660,"price_m2"
2013,"laucode","1264","house",1670,"price_m2"
2014,"laucode","1264","house",1671,"price_m2"
2015,"laucode","1264","house",1758,"price_m2"
2016,"laucode","1264","house",1873,"price_m2"
2017,"laucode","1264","house",1981,"price_m2"
2018,"laucode","1264","house",2057,"price_m2"
2019,"laucode","1264","house",2049,"price_m2"
2020,"laucode","1264","house",2141,"price_m2"
2021,"laucode","1264","house",2305,"price_m2"
2022,"laucode","1264","house",2379,"price_m2"
2023,"laucode","1264","house",2293,"price_m2"
2024,"laucode","1264","house",2348,"price_m2"
2013,"laucode","1265","all",1118,"price_m2"
2014,"laucode","1265","all",1176,"price_m2"
2015,"laucode","1265","all",1237,"price_m2"
2016,"laucode","1265","all",1318,"price_m2"
2017,"laucode","1265","all",1397,"price_m2"
2018,"laucode","1265","all",1451,"price_m2"
2019,"laucode","1265","all",1445,"price_m2"
2020,"laucode","1265","all",1526,"price_m2"
2021,"laucode","1265","all",1659,"price_m2"
2022,"laucode","1265","all",1727,"price_m2"
2023,"laucode","1265","all",1708,"price_m2"
2024,"laucode","1265","all",1597,"price_m2"
2013,"laucode","1265","flat",520,"price_m2"
2014,"laucode","1265","flat",547,"price_m2"
2015,"laucode","1265","flat",576,"price_m2"
2016,"laucode","1265","flat",613,"price_m2"
2017,"laucode","1265","flat",650,"price_m2"
2018,"laucode","1265","flat",675,"price_m2"
2019,"laucode","1265","flat",673,"price_m2"
2020,"laucode","1265","flat",710,"price_m2"
2021,"laucode","1265","flat",772,"price_m2"
2022,"laucode","1265","flat",804,"price_m2"
2023,"laucode","1265","flat",795,"price_m2"
2024,"laucode","1265","flat",743,"price_m2"
2013,"laucode","1265","house",1176,"price_m2"
2014,"laucode","1265","house",1237,"price_m2"
2015,"laucode","1265","house",1301,"price_m2"
2016,"laucode","1265","house",1386,"price_m2"
2017,"laucode","1265","house",1469,"price_m2"
2018,"laucode","1265","house",1526,"price_m2"
2019,"laucode","1265","house",1520,"price_m2"
2020,"laucode","1265","house",1605,"price_m2"
2021,"laucode","1265","house",1745,"price_m2"
2022,"laucode","1265","house",1816,"price_m2"
2023,"laucode","1265","house",1796,"price_m2"
2024,"laucode","1265","house",1680,"price_m2"
2013,"laucode","1266","all",1077,"price_m2"
2014,"laucode","1266","all",1089,"price_m2"
2015,"laucode","1266","all",1152,"price_m2"
2016,"laucode","1266","all",1238,"price_m2"
2017,"laucode","1266","all",1319,"price_m2"
2018,"laucode","1266","all",1379,"price_m2"
2019,"laucode","1266","all",1400,"price_m2"
2020,"laucode","1266","all",1470,"price_m2"
2021,"laucode","1266","all",1593,"price_m2"
2022,"laucode","1266","all",1654,"price_m2"
2023,"laucode","1266","all",1615,"price_m2"
2024,"laucode","1266","all",1683,"price_m2"
2013,"laucode","1266","flat",838,"price_m2"
2014,"laucode","1266","flat",847,"price_m2"
2015,"laucode","1266","flat",897,"price_m2"
2016,"laucode","1266","flat",963,"price_m2"
2017,"laucode","1266","flat",1027,"price_m2"
2018,"laucode","1266","flat",1073,"price_m2"
2019,"laucode","1266","flat",1090,"price_m2"
2020,"laucode","1266","flat",1144,"price_m2"
2021,"laucode","1266","flat",1240,"price_m2"
2022,"laucode","1266","flat",1287,"price_m2"
2023,"laucode","1266","flat",1257,"price_m2"
2024,"laucode","1266","flat",1310,"price_m2"
2013,"laucode","1266","house",1107,"price_m2"
2014,"laucode","1266","house",1119,"price_m2"
2015,"laucode","1266","house",1184,"price_m2"
2016,"laucode","1266","house",1272,"price_m2"
2017,"laucode","1266","house",1356,"price_m2"
2018,"laucode","1266","house",1417,"price_m2"
2019,"laucode","1266","house",1439,"price_m2"
2020,"laucode","1266","house",1511,"price_m2"
2021,"laucode","1266","house",1637,"price_m2"
2022,"laucode","1266","house",1700,"price_m2"
2023,"laucode","1266","house",1660,"price_m2"
2024,"laucode","1266","house",1730,"price_m2"
2013,"laucode","1267","all",1143,"price_m2"
2014,"laucode","1267","all",1195,"price_m2"
2015,"laucode","1267","all",1257,"price_m2"
2016,"laucode","1267","all",1341,"price_m2"
2017,"laucode","1267","all",1419,"price_m2"
2018,"laucode","1267","all",1475,"price_m2"
2019,"laucode","1267","all",1476,"price_m2"
2020,"laucode","1267","all",1546,"price_m2"
2021,"laucode","1267","all",1665,"price_m2"
2022,"laucode","1267","all",1722,"price_m2"
2023,"laucode","1267","all",1672,"price_m2"
2024,"laucode","1267","all",1724,"price_m2"
2013,"laucode","1267","flat",817,"price_m2"
2014,"laucode","1267","flat",854,"price_m2"
2015,"laucode","1267","flat",899,"price_m2"
2016,"laucode","1267","flat",958,"price_m2"
2017,"laucode","1267","flat",1014,"price_m2"
2018,"laucode","1267","flat",1054,"price_m2"
2019,"laucode","1267","flat",1055,"price_m2"
2020,"laucode","1267","flat",1105,"price_m2"
2021,"laucode","1267","flat",1190,"price_m2"
2022,"laucode","1267","flat",1231,"price_m2"
2023,"laucode","1267","flat",1195,"price_m2"
2024,"laucode","1267","flat",1232,"price_m2"
2013,"laucode","1267","house",1173,"price_m2"
2014,"laucode","1267","house",1226,"price_m2"
2015,"laucode","1267","house",1290,"price_m2"
2016,"laucode","1267","house",1376,"price_m2"
2017,"laucode","1267","house",1456,"price_m2"
2018,"laucode","1267","house",1513,"price_m2"
2019,"laucode","1267","house",1514,"price_m2"
2020,"laucode","1267","house",1586,"price_m2"
2021,"laucode","1267","house",1708,"price_m2"
2022,"laucode","1267","house",1767,"price_m2"
2023,"laucode","1267","house",1715,"price_m2"
2024,"laucode","1267","house",1769,"price_m2"
2013,"laucode","127","all",2870,"price_m2"
2014,"laucode","127","all",2983,"price_m2"
2015,"laucode","127","all",3158,"price_m2"
2016,"laucode","127","all",3308,"price_m2"
2017,"laucode","127","all",3426,"price_m2"
2018,"laucode","127","all",3419,"price_m2"
2019,"laucode","127","all",3377,"price_m2"
2020,"laucode","127","all",3466,"price_m2"
2021,"laucode","127","all",3691,"price_m2"
2022,"laucode","127","all",3766,"price_m2"
2023,"laucode","127","all",3544,"price_m2"
2024,"laucode","127","all",3520,"price_m2"
2013,"laucode","127","flat",2901,"price_m2"
2014,"laucode","127","flat",3014,"price_m2"
2015,"laucode","127","flat",3191,"price_m2"
2016,"laucode","127","flat",3343,"price_m2"
2017,"laucode","127","flat",3462,"price_m2"
2018,"laucode","127","flat",3455,"price_m2"
2019,"laucode","127","flat",3413,"price_m2"
2020,"laucode","127","flat",3503,"price_m2"
2021,"laucode","127","flat",3730,"price_m2"
2022,"laucode","127","flat",3806,"price_m2"
2023,"laucode","127","flat",3581,"price_m2"
2024,"laucode","127","flat",3557,"price_m2"
2013,"laucode","127","house",2810,"price_m2"
2014,"laucode","127","house",2920,"price_m2"
2015,"laucode","127","house",3091,"price_m2"
2016,"laucode","127","house",3238,"price_m2"
2017,"laucode","127","house",3354,"price_m2"
2018,"laucode","127","house",3347,"price_m2"
2019,"laucode","127","house",3306,"price_m2"
2020,"laucode","127","house",3393,"price_m2"
2021,"laucode","127","house",3613,"price_m2"
2022,"laucode","127","house",3687,"price_m2"
2023,"laucode","127","house",3469,"price_m2"
2024,"laucode","127","house",3446,"price_m2"
2013,"laucode","1270","all",1116,"price_m2"
2014,"laucode","1270","all",1189,"price_m2"
2015,"laucode","1270","all",1222,"price_m2"
2016,"laucode","1270","all",1274,"price_m2"
2017,"laucode","1270","all",1329,"price_m2"
2018,"laucode","1270","all",1353,"price_m2"
2019,"laucode","1270","all",1268,"price_m2"
2020,"laucode","1270","all",1364,"price_m2"
2021,"laucode","1270","all",1502,"price_m2"
2022,"laucode","1270","all",1587,"price_m2"
2023,"laucode","1270","all",1634,"price_m2"
2024,"laucode","1270","all",1607,"price_m2"
2013,"laucode","1270","flat",530,"price_m2"
2014,"laucode","1270","flat",565,"price_m2"
2015,"laucode","1270","flat",581,"price_m2"
2016,"laucode","1270","flat",605,"price_m2"
2017,"laucode","1270","flat",631,"price_m2"
2018,"laucode","1270","flat",643,"price_m2"
2019,"laucode","1270","flat",602,"price_m2"
2020,"laucode","1270","flat",648,"price_m2"
2021,"laucode","1270","flat",714,"price_m2"
2022,"laucode","1270","flat",754,"price_m2"
2023,"laucode","1270","flat",776,"price_m2"
2024,"laucode","1270","flat",763,"price_m2"
2013,"laucode","1270","house",1224,"price_m2"
2014,"laucode","1270","house",1305,"price_m2"
2015,"laucode","1270","house",1341,"price_m2"
2016,"laucode","1270","house",1398,"price_m2"
2017,"laucode","1270","house",1458,"price_m2"
2018,"laucode","1270","house",1485,"price_m2"
2019,"laucode","1270","house",1391,"price_m2"
2020,"laucode","1270","house",1497,"price_m2"
2021,"laucode","1270","house",1648,"price_m2"
2022,"laucode","1270","house",1741,"price_m2"
2023,"laucode","1270","house",1793,"price_m2"
2024,"laucode","1270","house",1763,"price_m2"
2013,"laucode","1272","all",959,"price_m2"
