nuts,year,type.of.building,value,level
SE312,2018,flat,63.8839498267824,nuts3
SE312,2018,house,113.954641824252,nuts3
SE312,2018,other,71.8895767853712,nuts3
SE313,2018,all,91.2014010599859,nuts3
SE313,2018,flat,64.3537265398536,nuts3
SE313,2018,house,113.929397948145,nuts3
SE313,2018,other,75.9429896316681,nuts3
SE321,2018,all,94.243960247792,nuts3
SE321,2018,flat,66.9643191837482,nuts3
SE321,2018,house,118.4691176418,nuts3
SE321,2018,other,73.0313239592497,nuts3
SE322,2018,all,92.2377656066524,nuts3
SE322,2018,flat,66.0192089064287,nuts3
SE322,2018,house,112.889281367709,nuts3
SE322,2018,other,66.878287277675,nuts3
SE331,2018,all,93.1177027800777,nuts3
SE331,2018,flat,65.9023872166923,nuts3
SE331,2018,house,120.195367457099,nuts3
SE331,2018,other,70.5869676833475,nuts3
SE332,2018,all,90.8753254925932,nuts3
SE332,2018,flat,64.9146754016094,nuts3
SE332,2018,house,114.162774091296,nuts3
SE332,2018,other,70.996236407919,nuts3
SE121,2018,all,92.3560650402011,nuts3
SE121,2018,flat,67.8813405397528,nuts3
SE121,2018,house,121.677724525095,nuts3
SE121,2018,other,75.1104309078209,nuts3
SE122,2018,all,90.4603023193141,nuts3
SE122,2018,flat,67.7347777646894,nuts3
SE122,2018,house,117.55585487047,nuts3
SE122,2018,other,74.6307021173874,nuts3
SE123,2018,all,91.387823347861,nuts3
SE123,2018,flat,68.2751989932358,nuts3
SE123,2018,house,120.58925028771,nuts3
SE123,2018,other,76.2644137826906,nuts3
SE211,2018,all,100.14780917145,nuts3
SE211,2018,flat,68.1896838406939,nuts3
SE211,2018,house,125.927363804776,nuts3
SE211,2018,other,75.6009707148619,nuts3
SE212,2018,all,102.404292535913,nuts3
SE212,2018,flat,68.0986946444228,nuts3
SE212,2018,house,125.416956207308,nuts3
SE212,2018,other,72.4096320928751,nuts3
SE213,2018,all,96.9826752373489,nuts3
SE213,2018,flat,66.4512927396707,nuts3
SE213,2018,house,118.193069920141,nuts3
SE213,2018,other,75.6105509237841,nuts3
SE214,2018,all,93.7,nuts3
SE214,2018,flat,66.8,nuts3
SE214,2018,house,109.6,nuts3
SE214,2018,other,73.9,nuts3
SE221,2019,all,95.1471847684452,nuts3
SE221,2019,flat,64.9073786377352,nuts3
SE221,2019,house,117.231886499898,nuts3
SE221,2019,other,74.6346085628294,nuts3
SE110,2019,all,83.955393168805,nuts3
SE110,2019,flat,67.51393189994,nuts3
SE110,2019,house,123.43856961448,nuts3
SE110,2019,other,67.8345420637139,nuts3
SE224,2019,all,95.2760463022974,nuts3
SE224,2019,flat,68.7658643590792,nuts3
SE224,2019,house,123.632953891128,nuts3
SE224,2019,other,78.2788777398738,nuts3
SE231,2019,all,102.49560732005,nuts3
SE231,2019,flat,68.2599253650349,nuts3
SE231,2019,house,123.208786987359,nuts3
SE231,2019,other,73.6511838184053,nuts3
SE232,2019,all,91.2331420490955,nuts3
SE232,2019,flat,66.2005172724772,nuts3
SE232,2019,house,119.779816995224,nuts3
SE232,2019,other,72.4023409291559,nuts3
SE311,2019,all,93.8371786662143,nuts3
SE311,2019,flat,65.1859809787551,nuts3
SE311,2019,house,117.950205463946,nuts3
SE311,2019,other,70.5361626357011,nuts3
SE124,2019,all,91.221561172437,nuts3
SE124,2019,flat,66.8926374634933,nuts3
SE124,2019,house,117.818927881155,nuts3
SE124,2019,other,71.3717180672535,nuts3
SE125,2019,all,90.8760811996885,nuts3
SE125,2019,flat,67.8026394856171,nuts3
SE125,2019,house,121.683825242044,nuts3
SE125,2019,other,78.8482675389547,nuts3
SE312,2019,all,93.4569253317514,nuts3
SE312,2019,flat,63.8437338347934,nuts3
SE312,2019,house,113.922761089409,nuts3
SE312,2019,other,71.8873231540486,nuts3
SE313,2019,all,91.0144234240531,nuts3
SE313,2019,flat,64.2217708704103,nuts3
SE313,2019,house,113.910967773728,nuts3
SE313,2019,other,76.4661649467387,nuts3
SE321,2019,all,94.1306673719888,nuts3
SE321,2019,flat,66.9232097642774,nuts3
SE321,2019,house,118.527003596471,nuts3
SE321,2019,other,73.7608501321308,nuts3
SE322,2019,all,91.9490908854847,nuts3
SE322,2019,flat,65.7766808747906,nuts3
SE322,2019,house,112.790842103007,nuts3
SE322,2019,other,66.8587246069427,nuts3
SE331,2019,all,92.8856607884423,nuts3
SE331,2019,flat,65.7667640373577,nuts3
SE331,2019,house,120.174931557563,nuts3
SE331,2019,other,70.4514866511638,nuts3
SE332,2019,all,90.6798866694353,nuts3
SE332,2019,flat,64.8946909089532,nuts3
SE332,2019,house,114.219978120115,nuts3
SE332,2019,other,70.8050038258948,nuts3
SE121,2019,all,91.8095763619074,nuts3
SE121,2019,flat,67.4916947474116,nuts3
SE121,2019,house,121.535162734362,nuts3
SE121,2019,other,74.5109886116721,nuts3
SE122,2019,all,90.1575684613815,nuts3
SE122,2019,flat,67.6198154164757,nuts3
SE122,2019,house,117.473794590788,nuts3
SE122,2019,other,74.2695857809838,nuts3
SE123,2019,all,91.2826446973235,nuts3
SE123,2019,flat,68.2016943125055,nuts3
SE123,2019,house,120.656585668311,nuts3
SE123,2019,other,76.1550191890975,nuts3
SE211,2019,all,99.9411643920653,nuts3
SE211,2019,flat,68.1417724780166,nuts3
SE211,2019,house,125.959860701232,nuts3
SE211,2019,other,75.7305256020861,nuts3
SE212,2019,all,102.057643486585,nuts3
SE212,2019,flat,67.9466157098814,nuts3
SE212,2019,house,125.437354070467,nuts3
SE212,2019,other,72.5619102755006,nuts3
SE213,2019,all,96.8004680400903,nuts3
SE213,2019,flat,66.362692227628,nuts3
SE213,2019,house,118.203204839893,nuts3
SE213,2019,other,75.1489378427025,nuts3
SE214,2019,all,93.6,nuts3
SE214,2019,flat,66.8,nuts3
SE214,2019,house,109.6,nuts3
SE214,2019,other,73.8,nuts3
SE221,2020,all,95.0367687309234,nuts3
SE221,2020,flat,64.8476129000323,nuts3
SE221,2020,house,117.168934265807,nuts3
SE221,2020,other,74.1024225261181,nuts3
SE110,2020,all,83.7396795893674,nuts3
SE110,2020,flat,67.362304978013,nuts3
SE110,2020,house,123.487486684397,nuts3
SE110,2020,other,67.4595272477413,nuts3
SE224,2020,all,95.0653536645516,nuts3
SE224,2020,flat,68.7017555343861,nuts3
SE224,2020,house,123.575438857583,nuts3
SE224,2020,other,77.8738626227248,nuts3
SE231,2020,all,102.272197438512,nuts3
SE231,2020,flat,68.1078922894662,nuts3
SE231,2020,house,123.210502367991,nuts3
SE231,2020,other,73.1743326021274,nuts3
SE232,2020,all,91.1460379396939,nuts3
SE232,2020,flat,66.1281805733829,nuts3
SE232,2020,house,119.820598418882,nuts3
SE232,2020,other,72.3034766225198,nuts3
SE311,2020,all,93.6852641226695,nuts3
SE311,2020,flat,65.0321376019749,nuts3
SE311,2020,house,117.893551506734,nuts3
SE311,2020,other,70.4274763193277,nuts3
SE124,2020,all,91.2046637638849,nuts3
SE124,2020,flat,66.9167562189402,nuts3
SE124,2020,house,117.900121034896,nuts3
SE124,2020,other,70.8854351927631,nuts3
SE125,2020,all,90.7477977332716,nuts3
SE125,2020,flat,67.7099474041182,nuts3
SE125,2020,house,121.682979813397,nuts3
SE125,2020,other,78.3835865745485,nuts3
SE312,2020,all,93.3640807701447,nuts3
SE312,2020,flat,63.8710375626198,nuts3
SE312,2020,house,113.776514700987,nuts3
SE312,2020,other,71.9131290825135,nuts3
SE313,2020,all,90.9679838023793,nuts3
SE313,2020,flat,64.1466516801425,nuts3
SE313,2020,house,113.948457596024,nuts3
SE313,2020,other,75.9151711622186,nuts3
SE321,2020,all,94.0280096839277,nuts3
SE321,2020,flat,66.835596017444,nuts3
SE321,2020,house,118.521611214629,nuts3
SE321,2020,other,73.2983500990156,nuts3
SE322,2020,all,91.8387573166528,nuts3
SE322,2020,flat,65.4823520201547,nuts3
SE322,2020,house,112.980480867784,nuts3
SE322,2020,other,66.9431915513474,nuts3
SE331,2020,all,93.1636006377353,nuts3
SE331,2020,flat,66.3351505039873,nuts3
SE331,2020,house,120.150161375272,nuts3
SE331,2020,other,70.127870789781,nuts3
