"year","level","code","type.of.building","value","measure"
2018,"laucode","1481","all",3939,"offer_pricem2"
2018,"laucode","1481","flat",4000,"offer_pricem2"
2018,"laucode","1481","house",3783,"offer_pricem2"
2018,"laucode","1482","all",3451,"offer_pricem2"
2018,"laucode","1482","flat",3527,"offer_pricem2"
2018,"laucode","1482","house",3398,"offer_pricem2"
2018,"laucode","1484","all",2900,"offer_pricem2"
2018,"laucode","1484","flat",2907,"offer_pricem2"
2018,"laucode","1484","house",2593,"offer_pricem2"
2018,"laucode","1485","all",2368,"offer_pricem2"
2018,"laucode","1485","flat",2307,"offer_pricem2"
2018,"laucode","1485","house",2538,"offer_pricem2"
2018,"laucode","1486","all",3104,"offer_pricem2"
2018,"laucode","1486","flat",3068,"offer_pricem2"
2018,"laucode","1486","house",3146,"offer_pricem2"
2018,"laucode","1487","all",1437,"offer_pricem2"
2018,"laucode","1487","flat",1441,"offer_pricem2"
2018,"laucode","1487","house",1422,"offer_pricem2"
2018,"laucode","1488","all",1949,"offer_pricem2"
2018,"laucode","1488","flat",1963,"offer_pricem2"
2018,"laucode","1488","house",1861,"offer_pricem2"
2018,"laucode","1489","all",2968,"offer_pricem2"
2018,"laucode","1489","flat",3093,"offer_pricem2"
2018,"laucode","1489","house",2258,"offer_pricem2"
2018,"laucode","1490","all",2273,"offer_pricem2"
2018,"laucode","1490","flat",2259,"offer_pricem2"
2018,"laucode","1490","house",2315,"offer_pricem2"
2018,"laucode","1491","all",1920,"offer_pricem2"
2018,"laucode","1491","flat",1956,"offer_pricem2"
2018,"laucode","1491","house",1846,"offer_pricem2"
2018,"laucode","1492","all",899,"offer_pricem2"
2018,"laucode","1492","flat",407,"offer_pricem2"
2018,"laucode","1492","house",972,"offer_pricem2"
2018,"laucode","1493","all",1106,"offer_pricem2"
2018,"laucode","1493","flat",806,"offer_pricem2"
2018,"laucode","1493","house",1329,"offer_pricem2"
2018,"laucode","1494","all",1285,"offer_pricem2"
2018,"laucode","1494","flat",966,"offer_pricem2"
2018,"laucode","1494","house",1767,"offer_pricem2"
2018,"laucode","1495","all",1095,"offer_pricem2"
2018,"laucode","1495","flat",459,"offer_pricem2"
2018,"laucode","1495","house",1576,"offer_pricem2"
2018,"laucode","1496","all",1856,"offer_pricem2"
2018,"laucode","1496","flat",1708,"offer_pricem2"
2018,"laucode","1496","house",2038,"offer_pricem2"
2018,"laucode","1497","all",1389,"offer_pricem2"
2018,"laucode","1497","flat",774,"offer_pricem2"
2018,"laucode","1497","house",1435,"offer_pricem2"
2018,"laucode","1498","all",814,"offer_pricem2"
2018,"laucode","1498","flat",324,"offer_pricem2"
2018,"laucode","1498","house",1168,"offer_pricem2"
2018,"laucode","1499","all",1034,"offer_pricem2"
2018,"laucode","1499","flat",516,"offer_pricem2"
2018,"laucode","1499","house",1189,"offer_pricem2"
2018,"laucode","1715","all",1474,"offer_pricem2"
2018,"laucode","1715","flat",602,"offer_pricem2"
2018,"laucode","1715","house",1539,"offer_pricem2"
2018,"laucode","1730","all",793,"offer_pricem2"
2018,"laucode","1730","house",793,"offer_pricem2"
2018,"laucode","1737","all",792,"offer_pricem2"
2018,"laucode","1737","house",792,"offer_pricem2"
2018,"laucode","1760","all",479,"offer_pricem2"
2018,"laucode","1760","house",479,"offer_pricem2"
2018,"laucode","1761","all",1950,"offer_pricem2"
2018,"laucode","1761","flat",1409,"offer_pricem2"
2018,"laucode","1761","house",2490,"offer_pricem2"
2018,"laucode","1762","all",472,"offer_pricem2"
