"Location","Year","Indicator","dwellings"
"..Anija rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2932
"..Anija rural municipality","2000","Total number of rooms",7866
"..Anija rural municipality","2000","Average number of rooms per inhabitant",1.08
"..Anija rural municipality","2011","Number of dwellings",2728
"..Anija rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2725
"..Anija rural municipality","2011","Total number of rooms",8264
"..Anija rural municipality","2011","Average number of rooms per inhabitant",1.28
"..Anija rural municipality","2021","Number of dwellings",2704
"..Anija rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2690
"..Anija rural municipality","2021","Total number of rooms",7929
"..Anija rural municipality","2021","Average number of rooms per inhabitant",1.29
"....Kehra city as a settlement unit","2000","Number of dwellings",1339
"....Kehra city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1338
"....Kehra city as a settlement unit","2000","Total number of rooms",3176
"....Kehra city as a settlement unit","2000","Average number of rooms per inhabitant",0.99
"....Kehra city as a settlement unit","2011","Number of dwellings",1269
"....Kehra city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1269
"....Kehra city as a settlement unit","2011","Total number of rooms",3235
"....Kehra city as a settlement unit","2011","Average number of rooms per inhabitant",1.13
"....Kehra city as a settlement unit","2021","Number of dwellings",1252
"....Kehra city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1251
"....Kehra city as a settlement unit","2021","Total number of rooms",3161
"....Kehra city as a settlement unit","2021","Average number of rooms per inhabitant",1.16
"....Anija rural municipality, excl. Kehra city as a settlement unit","2000","Number of dwellings",1594
"....Anija rural municipality, excl. Kehra city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1594
"....Anija rural municipality, excl. Kehra city as a settlement unit","2000","Total number of rooms",4690
"....Anija rural municipality, excl. Kehra city as a settlement unit","2000","Average number of rooms per inhabitant",1.16
"....Anija rural municipality, excl. Kehra city as a settlement unit","2011","Number of dwellings",1459
"....Anija rural municipality, excl. Kehra city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1456
"....Anija rural municipality, excl. Kehra city as a settlement unit","2011","Total number of rooms",5029
"....Anija rural municipality, excl. Kehra city as a settlement unit","2011","Average number of rooms per inhabitant",1.41
"....Anija rural municipality, excl. Kehra city as a settlement unit","2021","Number of dwellings",1452
"....Anija rural municipality, excl. Kehra city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1439
"....Anija rural municipality, excl. Kehra city as a settlement unit","2021","Total number of rooms",4768
"....Anija rural municipality, excl. Kehra city as a settlement unit","2021","Average number of rooms per inhabitant",1.4
"..Harku rural municipality","2000","Number of dwellings",2312
"..Harku rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2296
"..Harku rural municipality","2000","Total number of rooms",6795
"..Harku rural municipality","2000","Average number of rooms per inhabitant",1.08
"..Harku rural municipality","2011","Number of dwellings",4902
"..Harku rural municipality","2011","Number of dwellings for which the number of rooms was recorded",4889
"..Harku rural municipality","2011","Total number of rooms",18890
"..Harku rural municipality","2011","Average number of rooms per inhabitant",1.38
"..Harku rural municipality","2021","Number of dwellings",5728
"..Harku rural municipality","2021","Number of dwellings for which the number of rooms was recorded",5672
"..Harku rural municipality","2021","Total number of rooms",20022
"..Harku rural municipality","2021","Average number of rooms per inhabitant",1.26
"..Jõelähtme rural municipality","2000","Number of dwellings",1908
"..Jõelähtme rural municipality","2000","Number of dwellings for which the number of rooms was recorded",1908
"..Jõelähtme rural municipality","2000","Total number of rooms",5393
"..Jõelähtme rural municipality","2000","Average number of rooms per inhabitant",1.05
"..Jõelähtme rural municipality","2011","Number of dwellings",2423
"..Jõelähtme rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2420
"..Jõelähtme rural municipality","2011","Total number of rooms",8480
"..Jõelähtme rural municipality","2011","Average number of rooms per inhabitant",1.33
"..Jõelähtme rural municipality","2021","Number of dwellings",2692
"..Jõelähtme rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2670
"..Jõelähtme rural municipality","2021","Total number of rooms",8826
"..Jõelähtme rural municipality","2021","Average number of rooms per inhabitant",1.29
"..Keila city","2000","Number of dwellings",3492
"..Keila city","2000","Number of dwellings for which the number of rooms was recorded",3474
"..Keila city","2000","Total number of rooms",9468
"..Keila city","2000","Average number of rooms per inhabitant",1.03
"..Keila city","2011","Number of dwellings",3699
"..Keila city","2011","Number of dwellings for which the number of rooms was recorded",3699
"..Keila city","2011","Total number of rooms",11231
"..Keila city","2011","Average number of rooms per inhabitant",1.18
"..Keila city","2021","Number of dwellings",3900
"..Keila city","2021","Number of dwellings for which the number of rooms was recorded",3852
"..Keila city","2021","Total number of rooms",11543
"..Keila city","2021","Average number of rooms per inhabitant",1.15
"..Kiili rural municipality","2000","Number of dwellings",813
"..Kiili rural municipality","2000","Number of dwellings for which the number of rooms was recorded",809
"..Kiili rural municipality","2000","Total number of rooms",2484
"..Kiili rural municipality","2000","Average number of rooms per inhabitant",1.06
"..Kiili rural municipality","2011","Number of dwellings",1643
"..Kiili rural municipality","2011","Number of dwellings for which the number of rooms was recorded",1641
"..Kiili rural municipality","2011","Total number of rooms",6598
"..Kiili rural municipality","2011","Average number of rooms per inhabitant",1.29
"..Kiili rural municipality","2021","Number of dwellings",2070
"..Kiili rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2033
"..Kiili rural municipality","2021","Total number of rooms",7877
"..Kiili rural municipality","2021","Average number of rooms per inhabitant",1.29
