"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"paide linn",2015,"flat","EE009","EE006",567,"median_ppm2",238
"rakvere linn",2015,"flat","EE009","EE006",663,"median_ppm2",495
"rakvere vald",2015,"flat","EE009","EE006",661,"median_ppm2",223
"rapla vald",2015,"flat","EE009","EE006",668,"median_ppm2",326
"tapa vald",2015,"flat","EE009","EE006",792,"median_ppm2",86
"turi vald",2015,"flat","EE009","EE006",834,"median_ppm2",143
"vaikemaarja vald",2015,"flat","EE009","EE006",928,"median_ppm2",55
"vinni vald",2015,"flat","EE009","EE006",901,"median_ppm2",187
"virunigula vald",2015,"flat","EE009","EE006",903,"median_ppm2",83
"alutaguse vald",2015,"flat","EE00A","EE007",130,"median_ppm2",137
"johvi vald",2015,"flat","EE00A","EE007",251,"median_ppm2",202
"kohtlajarve linn",2015,"flat","EE00A","EE007",321,"median_ppm2",82
"luganuse vald",2015,"flat","EE00A","EE007",442,"median_ppm2",31
"narva linn",2015,"flat","EE00A","EE007",511,"median_ppm2",465
"narvajoesuu linn",2015,"flat","EE00A","EE007",514,"median_ppm2",524
"sillamae linn",2015,"flat","EE00A","EE007",735,"median_ppm2",310
"toila vald",2015,"flat","EE00A","EE007",803,"median_ppm2",124
"anija vald",2016,"flat","EE001","EE001",141,"median_ppm2",428
"harku vald",2016,"flat","EE001","EE001",198,"median_ppm2",1297
"joelahtme vald",2016,"flat","EE001","EE001",245,"median_ppm2",1203
"keila linn",2016,"flat","EE001","EE001",296,"median_ppm2",1135
"kiili vald",2016,"flat","EE001","EE001",304,"median_ppm2",1174
"kose vald",2016,"flat","EE001","EE001",338,"median_ppm2",272
"kuusalu vald",2016,"flat","EE001","EE001",353,"median_ppm2",513
"laaneharju vald",2016,"flat","EE001","EE001",431,"median_ppm2",341
"loksa linn",2016,"flat","EE001","EE001",424,"median_ppm2",198
"maardu linn",2016,"flat","EE001","EE001",446,"median_ppm2",842
"raasiku vald",2016,"flat","EE001","EE001",651,"median_ppm2",943
"rae vald",2016,"flat","EE001","EE001",653,"median_ppm2",1470
"saku vald",2016,"flat","EE001","EE001",718,"median_ppm2",1212
"saue vald",2016,"flat","EE001","EE001",726,"median_ppm2",1285
"tallinn",2016,"flat","EE001","EE001",784,"median_ppm2",1541
"viimsi vald",2016,"flat","EE001","EE001",890,"median_ppm2",1465
"haademeeste vald",2016,"flat","EE004","EE004",214,"median_ppm2",291
"haapsalu linn",2016,"flat","EE004","EE004",184,"median_ppm2",478
"hiiumaa vald",2016,"flat","EE004","EE004",205,"median_ppm2",252
"kihnu vald",2016,"flat","EE004","EE004",303,"median_ppm2",271
"laanenigula vald",2016,"flat","EE004","EE004",441,"median_ppm2",113
"laaneranna vald",2016,"flat","EE004","EE004",430,"median_ppm2",65
"muhu vald",2016,"flat","EE004","EE004",478,"median_ppm2",255
"parnu linn",2016,"flat","EE004","EE004",624,"median_ppm2",909
"pohjaparnumaa vald",2016,"flat","EE004","EE004",638,"median_ppm2",110
"ruhnu vald",2016,"flat","EE004","EE004",689,"median_ppm2",271
"saarde vald",2016,"flat","EE004","EE004",712,"median_ppm2",62
"saaremaa vald",2016,"flat","EE004","EE004",714,"median_ppm2",641
"tori vald",2016,"flat","EE004","EE004",809,"median_ppm2",491
"vormsi vald",2016,"flat","EE004","EE004",907,"median_ppm2",271
"antsla vald",2016,"flat","EE008","EE008",142,"median_ppm2",66
"elva vald",2016,"flat","EE008","EE008",171,"median_ppm2",362
"jogeva vald",2016,"flat","EE008","EE008",247,"median_ppm2",120
"kambja vald",2016,"flat","EE008","EE008",283,"median_ppm2",1213
"kanepi vald",2016,"flat","EE008","EE008",284,"median_ppm2",114
"kastre vald",2016,"flat","EE008","EE008",291,"median_ppm2",329
"luunja vald",2016,"flat","EE008","EE008",432,"median_ppm2",1206
"mulgi vald",2016,"flat","EE008","EE008",480,"median_ppm2",82
"mustvee vald",2016,"flat","EE008","EE008",486,"median_ppm2",103
"noo vald",2016,"flat","EE008","EE008",528,"median_ppm2",457
"otepaa vald",2016,"flat","EE008","EE008",557,"median_ppm2",265
"peipsiaare vald",2016,"flat","EE008","EE008",586,"median_ppm2",179
"pohjasakala vald",2016,"flat","EE008","EE008",615,"median_ppm2",92
"poltsamaa vald",2016,"flat","EE008","EE008",618,"median_ppm2",145
"polva vald",2016,"flat","EE008","EE008",622,"median_ppm2",319
"rapina vald",2016,"flat","EE008","EE008",708,"median_ppm2",129
"rouge vald",2016,"flat","EE008","EE008",698,"median_ppm2",57
"setomaa vald",2016,"flat","EE008","EE008",732,"median_ppm2",129
"tartu linn",2016,"flat","EE008","EE008",793,"median_ppm2",1202
"tartu vald",2016,"flat","EE008","EE008",796,"median_ppm2",1169
"torva vald",2016,"flat","EE008","EE008",824,"median_ppm2",90
"valga vald",2016,"flat","EE008","EE008",855,"median_ppm2",112
"viljandi linn",2016,"flat","EE008","EE008",897,"median_ppm2",574
"viljandi vald",2016,"flat","EE008","EE008",899,"median_ppm2",162
"voru linn",2016,"flat","EE008","EE008",919,"median_ppm2",351
"voru vald",2016,"flat","EE008","EE008",917,"median_ppm2",195
"haljala vald",2016,"flat","EE009","EE006",191,"median_ppm2",268
"jarva vald",2016,"flat","EE009","EE006",255,"median_ppm2",51
"kadrina vald",2016,"flat","EE009","EE006",272,"median_ppm2",234
"kehtna vald",2016,"flat","EE009","EE006",293,"median_ppm2",120
"kohila vald",2016,"flat","EE009","EE006",317,"median_ppm2",637
"marjamaa vald",2016,"flat","EE009","EE006",503,"median_ppm2",126
"paide linn",2016,"flat","EE009","EE006",567,"median_ppm2",237
"rakvere linn",2016,"flat","EE009","EE006",663,"median_ppm2",537
"rakvere vald",2016,"flat","EE009","EE006",661,"median_ppm2",286
"rapla vald",2016,"flat","EE009","EE006",668,"median_ppm2",368
"tapa vald",2016,"flat","EE009","EE006",792,"median_ppm2",100
"turi vald",2016,"flat","EE009","EE006",834,"median_ppm2",148
"vaikemaarja vald",2016,"flat","EE009","EE006",928,"median_ppm2",53
"vinni vald",2016,"flat","EE009","EE006",901,"median_ppm2",106
"virunigula vald",2016,"flat","EE009","EE006",903,"median_ppm2",79
"alutaguse vald",2016,"flat","EE00A","EE007",130,"median_ppm2",81
"johvi vald",2016,"flat","EE00A","EE007",251,"median_ppm2",192
"kohtlajarve linn",2016,"flat","EE00A","EE007",321,"median_ppm2",82
"luganuse vald",2016,"flat","EE00A","EE007",442,"median_ppm2",41
"narva linn",2016,"flat","EE00A","EE007",511,"median_ppm2",413
"narvajoesuu linn",2016,"flat","EE00A","EE007",514,"median_ppm2",495
"sillamae linn",2016,"flat","EE00A","EE007",735,"median_ppm2",222
"toila vald",2016,"flat","EE00A","EE007",803,"median_ppm2",104
"anija vald",2017,"flat","EE001","EE001",141,"median_ppm2",448
"harku vald",2017,"flat","EE001","EE001",198,"median_ppm2",1429
"joelahtme vald",2017,"flat","EE001","EE001",245,"median_ppm2",1246
"keila linn",2017,"flat","EE001","EE001",296,"median_ppm2",1140
"kiili vald",2017,"flat","EE001","EE001",304,"median_ppm2",1468
"kose vald",2017,"flat","EE001","EE001",338,"median_ppm2",492
"kuusalu vald",2017,"flat","EE001","EE001",353,"median_ppm2",577
"laaneharju vald",2017,"flat","EE001","EE001",431,"median_ppm2",403
"loksa linn",2017,"flat","EE001","EE001",424,"median_ppm2",251
"maardu linn",2017,"flat","EE001","EE001",446,"median_ppm2",930
"raasiku vald",2017,"flat","EE001","EE001",651,"median_ppm2",854
"rae vald",2017,"flat","EE001","EE001",653,"median_ppm2",1605
"saku vald",2017,"flat","EE001","EE001",718,"median_ppm2",1219
"saue vald",2017,"flat","EE001","EE001",726,"median_ppm2",1429
"tallinn",2017,"flat","EE001","EE001",784,"median_ppm2",1668
"viimsi vald",2017,"flat","EE001","EE001",890,"median_ppm2",1626
"haademeeste vald",2017,"flat","EE004","EE004",214,"median_ppm2",353
"haapsalu linn",2017,"flat","EE004","EE004",184,"median_ppm2",572
"hiiumaa vald",2017,"flat","EE004","EE004",205,"median_ppm2",340
"kihnu vald",2017,"flat","EE004","EE004",303,"median_ppm2",346
"laanenigula vald",2017,"flat","EE004","EE004",441,"median_ppm2",126
"laaneranna vald",2017,"flat","EE004","EE004",430,"median_ppm2",74
"muhu vald",2017,"flat","EE004","EE004",478,"median_ppm2",325
"parnu linn",2017,"flat","EE004","EE004",624,"median_ppm2",1048
"pohjaparnumaa vald",2017,"flat","EE004","EE004",638,"median_ppm2",107
"ruhnu vald",2017,"flat","EE004","EE004",689,"median_ppm2",346
"saarde vald",2017,"flat","EE004","EE004",712,"median_ppm2",111
"saaremaa vald",2017,"flat","EE004","EE004",714,"median_ppm2",677
"tori vald",2017,"flat","EE004","EE004",809,"median_ppm2",562
"vormsi vald",2017,"flat","EE004","EE004",907,"median_ppm2",346
"antsla vald",2017,"flat","EE008","EE008",142,"median_ppm2",97
"elva vald",2017,"flat","EE008","EE008",171,"median_ppm2",320
"jogeva vald",2017,"flat","EE008","EE008",247,"median_ppm2",160
"kambja vald",2017,"flat","EE008","EE008",283,"median_ppm2",1281
"kanepi vald",2017,"flat","EE008","EE008",284,"median_ppm2",116
"kastre vald",2017,"flat","EE008","EE008",291,"median_ppm2",402
"luunja vald",2017,"flat","EE008","EE008",432,"median_ppm2",1327
"mulgi vald",2017,"flat","EE008","EE008",480,"median_ppm2",82
"mustvee vald",2017,"flat","EE008","EE008",486,"median_ppm2",72
"noo vald",2017,"flat","EE008","EE008",528,"median_ppm2",612
"otepaa vald",2017,"flat","EE008","EE008",557,"median_ppm2",151
"peipsiaare vald",2017,"flat","EE008","EE008",586,"median_ppm2",180
"pohjasakala vald",2017,"flat","EE008","EE008",615,"median_ppm2",112
"poltsamaa vald",2017,"flat","EE008","EE008",618,"median_ppm2",180
"polva vald",2017,"flat","EE008","EE008",622,"median_ppm2",341
"rapina vald",2017,"flat","EE008","EE008",708,"median_ppm2",107
"rouge vald",2017,"flat","EE008","EE008",698,"median_ppm2",65
"setomaa vald",2017,"flat","EE008","EE008",732,"median_ppm2",96
"tartu linn",2017,"flat","EE008","EE008",793,"median_ppm2",1262
"tartu vald",2017,"flat","EE008","EE008",796,"median_ppm2",1223
"torva vald",2017,"flat","EE008","EE008",824,"median_ppm2",90
"valga vald",2017,"flat","EE008","EE008",855,"median_ppm2",112
"viljandi linn",2017,"flat","EE008","EE008",897,"median_ppm2",636
"viljandi vald",2017,"flat","EE008","EE008",899,"median_ppm2",184
"voru linn",2017,"flat","EE008","EE008",919,"median_ppm2",420
"voru vald",2017,"flat","EE008","EE008",917,"median_ppm2",179
"haljala vald",2017,"flat","EE009","EE006",191,"median_ppm2",211
"jarva vald",2017,"flat","EE009","EE006",255,"median_ppm2",43
"kadrina vald",2017,"flat","EE009","EE006",272,"median_ppm2",278
"kehtna vald",2017,"flat","EE009","EE006",293,"median_ppm2",197
"kohila vald",2017,"flat","EE009","EE006",317,"median_ppm2",713
"marjamaa vald",2017,"flat","EE009","EE006",503,"median_ppm2",183
"paide linn",2017,"flat","EE009","EE006",567,"median_ppm2",271
"rakvere linn",2017,"flat","EE009","EE006",663,"median_ppm2",610
"rakvere vald",2017,"flat","EE009","EE006",661,"median_ppm2",282
"rapla vald",2017,"flat","EE009","EE006",668,"median_ppm2",457
"tapa vald",2017,"flat","EE009","EE006",792,"median_ppm2",92
"turi vald",2017,"flat","EE009","EE006",834,"median_ppm2",190
"vaikemaarja vald",2017,"flat","EE009","EE006",928,"median_ppm2",57
"vinni vald",2017,"flat","EE009","EE006",901,"median_ppm2",106
"virunigula vald",2017,"flat","EE009","EE006",903,"median_ppm2",95
"alutaguse vald",2017,"flat","EE00A","EE007",130,"median_ppm2",63
"johvi vald",2017,"flat","EE00A","EE007",251,"median_ppm2",205
"kohtlajarve linn",2017,"flat","EE00A","EE007",321,"median_ppm2",73
"luganuse vald",2017,"flat","EE00A","EE007",442,"median_ppm2",42
"narva linn",2017,"flat","EE00A","EE007",511,"median_ppm2",395
"narvajoesuu linn",2017,"flat","EE00A","EE007",514,"median_ppm2",510
"sillamae linn",2017,"flat","EE00A","EE007",735,"median_ppm2",234
"toila vald",2017,"flat","EE00A","EE007",803,"median_ppm2",103
"anija vald",2018,"flat","EE001","EE001",141,"median_ppm2",557
"harku vald",2018,"flat","EE001","EE001",198,"median_ppm2",1490
"joelahtme vald",2018,"flat","EE001","EE001",245,"median_ppm2",1358
"keila linn",2018,"flat","EE001","EE001",296,"median_ppm2",1226
"kiili vald",2018,"flat","EE001","EE001",304,"median_ppm2",1527
"kose vald",2018,"flat","EE001","EE001",338,"median_ppm2",573
"kuusalu vald",2018,"flat","EE001","EE001",353,"median_ppm2",495
"laaneharju vald",2018,"flat","EE001","EE001",431,"median_ppm2",396
"loksa linn",2018,"flat","EE001","EE001",424,"median_ppm2",243
"maardu linn",2018,"flat","EE001","EE001",446,"median_ppm2",1074
"raasiku vald",2018,"flat","EE001","EE001",651,"median_ppm2",1190
"rae vald",2018,"flat","EE001","EE001",653,"median_ppm2",1687
"saku vald",2018,"flat","EE001","EE001",718,"median_ppm2",1391
"saue vald",2018,"flat","EE001","EE001",726,"median_ppm2",1573
"tallinn",2018,"flat","EE001","EE001",784,"median_ppm2",1763
"viimsi vald",2018,"flat","EE001","EE001",890,"median_ppm2",1675
"haademeeste vald",2018,"flat","EE004","EE004",214,"median_ppm2",293
"haapsalu linn",2018,"flat","EE004","EE004",184,"median_ppm2",688
"hiiumaa vald",2018,"flat","EE004","EE004",205,"median_ppm2",259
"kihnu vald",2018,"flat","EE004","EE004",303,"median_ppm2",276
"laanenigula vald",2018,"flat","EE004","EE004",441,"median_ppm2",110
"laaneranna vald",2018,"flat","EE004","EE004",430,"median_ppm2",80
"muhu vald",2018,"flat","EE004","EE004",478,"median_ppm2",259
"parnu linn",2018,"flat","EE004","EE004",624,"median_ppm2",1097
"pohjaparnumaa vald",2018,"flat","EE004","EE004",638,"median_ppm2",133
"ruhnu vald",2018,"flat","EE004","EE004",689,"median_ppm2",276
"saarde vald",2018,"flat","EE004","EE004",712,"median_ppm2",84
"saaremaa vald",2018,"flat","EE004","EE004",714,"median_ppm2",727
"tori vald",2018,"flat","EE004","EE004",809,"median_ppm2",588
"vormsi vald",2018,"flat","EE004","EE004",907,"median_ppm2",276
"antsla vald",2018,"flat","EE008","EE008",142,"median_ppm2",39
"elva vald",2018,"flat","EE008","EE008",171,"median_ppm2",426
"jogeva vald",2018,"flat","EE008","EE008",247,"median_ppm2",229
"kambja vald",2018,"flat","EE008","EE008",283,"median_ppm2",1312
"kanepi vald",2018,"flat","EE008","EE008",284,"median_ppm2",62
"kastre vald",2018,"flat","EE008","EE008",291,"median_ppm2",420
"luunja vald",2018,"flat","EE008","EE008",432,"median_ppm2",1379
"mulgi vald",2018,"flat","EE008","EE008",480,"median_ppm2",59
"mustvee vald",2018,"flat","EE008","EE008",486,"median_ppm2",128
"noo vald",2018,"flat","EE008","EE008",528,"median_ppm2",671
"otepaa vald",2018,"flat","EE008","EE008",557,"median_ppm2",175
"peipsiaare vald",2018,"flat","EE008","EE008",586,"median_ppm2",143
"pohjasakala vald",2018,"flat","EE008","EE008",615,"median_ppm2",112
"poltsamaa vald",2018,"flat","EE008","EE008",618,"median_ppm2",175
"polva vald",2018,"flat","EE008","EE008",622,"median_ppm2",363
"rapina vald",2018,"flat","EE008","EE008",708,"median_ppm2",111
"rouge vald",2018,"flat","EE008","EE008",698,"median_ppm2",89
"setomaa vald",2018,"flat","EE008","EE008",732,"median_ppm2",57
"tartu linn",2018,"flat","EE008","EE008",793,"median_ppm2",1373
"tartu vald",2018,"flat","EE008","EE008",796,"median_ppm2",1272
"torva vald",2018,"flat","EE008","EE008",824,"median_ppm2",95
"valga vald",2018,"flat","EE008","EE008",855,"median_ppm2",89
"viljandi linn",2018,"flat","EE008","EE008",897,"median_ppm2",740
"viljandi vald",2018,"flat","EE008","EE008",899,"median_ppm2",188
"voru linn",2018,"flat","EE008","EE008",919,"median_ppm2",486
"voru vald",2018,"flat","EE008","EE008",917,"median_ppm2",224
"haljala vald",2018,"flat","EE009","EE006",191,"median_ppm2",261
"jarva vald",2018,"flat","EE009","EE006",255,"median_ppm2",65
"kadrina vald",2018,"flat","EE009","EE006",272,"median_ppm2",284
"kehtna vald",2018,"flat","EE009","EE006",293,"median_ppm2",205
"kohila vald",2018,"flat","EE009","EE006",317,"median_ppm2",720
"marjamaa vald",2018,"flat","EE009","EE006",503,"median_ppm2",105
"paide linn",2018,"flat","EE009","EE006",567,"median_ppm2",359
"rakvere linn",2018,"flat","EE009","EE006",663,"median_ppm2",742
"rakvere vald",2018,"flat","EE009","EE006",661,"median_ppm2",304
"rapla vald",2018,"flat","EE009","EE006",668,"median_ppm2",467
"tapa vald",2018,"flat","EE009","EE006",792,"median_ppm2",150
"turi vald",2018,"flat","EE009","EE006",834,"median_ppm2",235
"vaikemaarja vald",2018,"flat","EE009","EE006",928,"median_ppm2",61
"vinni vald",2018,"flat","EE009","EE006",901,"median_ppm2",142
"virunigula vald",2018,"flat","EE009","EE006",903,"median_ppm2",101
"alutaguse vald",2018,"flat","EE00A","EE007",130,"median_ppm2",138
"johvi vald",2018,"flat","EE00A","EE007",251,"median_ppm2",200
"kohtlajarve linn",2018,"flat","EE00A","EE007",321,"median_ppm2",71
"luganuse vald",2018,"flat","EE00A","EE007",442,"median_ppm2",37
"narva linn",2018,"flat","EE00A","EE007",511,"median_ppm2",393
"narvajoesuu linn",2018,"flat","EE00A","EE007",514,"median_ppm2",496
"sillamae linn",2018,"flat","EE00A","EE007",735,"median_ppm2",201
"toila vald",2018,"flat","EE00A","EE007",803,"median_ppm2",125
"anija vald",2019,"flat","EE001","EE001",141,"median_ppm2",519
"harku vald",2019,"flat","EE001","EE001",198,"median_ppm2",1499
"joelahtme vald",2019,"flat","EE001","EE001",245,"median_ppm2",1378
"keila linn",2019,"flat","EE001","EE001",296,"median_ppm2",1231
"kiili vald",2019,"flat","EE001","EE001",304,"median_ppm2",1668
"kose vald",2019,"flat","EE001","EE001",338,"median_ppm2",768
"kuusalu vald",2019,"flat","EE001","EE001",353,"median_ppm2",573
"laaneharju vald",2019,"flat","EE001","EE001",431,"median_ppm2",414
"loksa linn",2019,"flat","EE001","EE001",424,"median_ppm2",313
"maardu linn",2019,"flat","EE001","EE001",446,"median_ppm2",1085
"raasiku vald",2019,"flat","EE001","EE001",651,"median_ppm2",955
"rae vald",2019,"flat","EE001","EE001",653,"median_ppm2",1800
"saku vald",2019,"flat","EE001","EE001",718,"median_ppm2",1431
"saue vald",2019,"flat","EE001","EE001",726,"median_ppm2",1753
"tallinn",2019,"flat","EE001","EE001",784,"median_ppm2",1893
"viimsi vald",2019,"flat","EE001","EE001",890,"median_ppm2",1681
"haademeeste vald",2019,"flat","EE004","EE004",214,"median_ppm2",507
"haapsalu linn",2019,"flat","EE004","EE004",184,"median_ppm2",714
"hiiumaa vald",2019,"flat","EE004","EE004",205,"median_ppm2",377
"kihnu vald",2019,"flat","EE004","EE004",303,"median_ppm2",442
"laanenigula vald",2019,"flat","EE004","EE004",441,"median_ppm2",176
"laaneranna vald",2019,"flat","EE004","EE004",430,"median_ppm2",76
"muhu vald",2019,"flat","EE004","EE004",478,"median_ppm2",415
"parnu linn",2019,"flat","EE004","EE004",624,"median_ppm2",1201
"pohjaparnumaa vald",2019,"flat","EE004","EE004",638,"median_ppm2",152
"ruhnu vald",2019,"flat","EE004","EE004",689,"median_ppm2",442
"saarde vald",2019,"flat","EE004","EE004",712,"median_ppm2",119
"saaremaa vald",2019,"flat","EE004","EE004",714,"median_ppm2",799
"tori vald",2019,"flat","EE004","EE004",809,"median_ppm2",606
"vormsi vald",2019,"flat","EE004","EE004",907,"median_ppm2",442
"antsla vald",2019,"flat","EE008","EE008",142,"median_ppm2",63
"elva vald",2019,"flat","EE008","EE008",171,"median_ppm2",447
"jogeva vald",2019,"flat","EE008","EE008",247,"median_ppm2",249
"kambja vald",2019,"flat","EE008","EE008",283,"median_ppm2",1359
"kanepi vald",2019,"flat","EE008","EE008",284,"median_ppm2",151
"kastre vald",2019,"flat","EE008","EE008",291,"median_ppm2",453
"luunja vald",2019,"flat","EE008","EE008",432,"median_ppm2",1431
"mulgi vald",2019,"flat","EE008","EE008",480,"median_ppm2",110
"mustvee vald",2019,"flat","EE008","EE008",486,"median_ppm2",85
"noo vald",2019,"flat","EE008","EE008",528,"median_ppm2",717
"otepaa vald",2019,"flat","EE008","EE008",557,"median_ppm2",319
"peipsiaare vald",2019,"flat","EE008","EE008",586,"median_ppm2",230
"pohjasakala vald",2019,"flat","EE008","EE008",615,"median_ppm2",166
"poltsamaa vald",2019,"flat","EE008","EE008",618,"median_ppm2",168
"polva vald",2019,"flat","EE008","EE008",622,"median_ppm2",398
"rapina vald",2019,"flat","EE008","EE008",708,"median_ppm2",119
"rouge vald",2019,"flat","EE008","EE008",698,"median_ppm2",51
"setomaa vald",2019,"flat","EE008","EE008",732,"median_ppm2",31
"tartu linn",2019,"flat","EE008","EE008",793,"median_ppm2",1439
"tartu vald",2019,"flat","EE008","EE008",796,"median_ppm2",1374
"torva vald",2019,"flat","EE008","EE008",824,"median_ppm2",110
"valga vald",2019,"flat","EE008","EE008",855,"median_ppm2",121
"viljandi linn",2019,"flat","EE008","EE008",897,"median_ppm2",760
"viljandi vald",2019,"flat","EE008","EE008",899,"median_ppm2",267
"voru linn",2019,"flat","EE008","EE008",919,"median_ppm2",610
"voru vald",2019,"flat","EE008","EE008",917,"median_ppm2",218
"haljala vald",2019,"flat","EE009","EE006",191,"median_ppm2",321
"jarva vald",2019,"flat","EE009","EE006",255,"median_ppm2",65
"kadrina vald",2019,"flat","EE009","EE006",272,"median_ppm2",358
"kehtna vald",2019,"flat","EE009","EE006",293,"median_ppm2",237
"kohila vald",2019,"flat","EE009","EE006",317,"median_ppm2",861
"marjamaa vald",2019,"flat","EE009","EE006",503,"median_ppm2",201
"paide linn",2019,"flat","EE009","EE006",567,"median_ppm2",393
"rakvere linn",2019,"flat","EE009","EE006",663,"median_ppm2",734
"rakvere vald",2019,"flat","EE009","EE006",661,"median_ppm2",297
"rapla vald",2019,"flat","EE009","EE006",668,"median_ppm2",517
"tapa vald",2019,"flat","EE009","EE006",792,"median_ppm2",141
"turi vald",2019,"flat","EE009","EE006",834,"median_ppm2",331
"vaikemaarja vald",2019,"flat","EE009","EE006",928,"median_ppm2",57
"vinni vald",2019,"flat","EE009","EE006",901,"median_ppm2",181
"virunigula vald",2019,"flat","EE009","EE006",903,"median_ppm2",85
"alutaguse vald",2019,"flat","EE00A","EE007",130,"median_ppm2",47
"johvi vald",2019,"flat","EE00A","EE007",251,"median_ppm2",204
"kohtlajarve linn",2019,"flat","EE00A","EE007",321,"median_ppm2",82
"luganuse vald",2019,"flat","EE00A","EE007",442,"median_ppm2",40
"narva linn",2019,"flat","EE00A","EE007",511,"median_ppm2",391
"narvajoesuu linn",2019,"flat","EE00A","EE007",514,"median_ppm2",603
"sillamae linn",2019,"flat","EE00A","EE007",735,"median_ppm2",204
"toila vald",2019,"flat","EE00A","EE007",803,"median_ppm2",97
"anija vald",2020,"flat","EE001","EE001",141,"median_ppm2",614
"harku vald",2020,"flat","EE001","EE001",198,"median_ppm2",1838
"joelahtme vald",2020,"flat","EE001","EE001",245,"median_ppm2",1804
"keila linn",2020,"flat","EE001","EE001",296,"median_ppm2",1336
"kiili vald",2020,"flat","EE001","EE001",304,"median_ppm2",1877
"kose vald",2020,"flat","EE001","EE001",338,"median_ppm2",877
"kuusalu vald",2020,"flat","EE001","EE001",353,"median_ppm2",471
"laaneharju vald",2020,"flat","EE001","EE001",431,"median_ppm2",496
"loksa linn",2020,"flat","EE001","EE001",424,"median_ppm2",393
"maardu linn",2020,"flat","EE001","EE001",446,"median_ppm2",1139
"raasiku vald",2020,"flat","EE001","EE001",651,"median_ppm2",1180
"rae vald",2020,"flat","EE001","EE001",653,"median_ppm2",2037
"saku vald",2020,"flat","EE001","EE001",718,"median_ppm2",2002
"saue vald",2020,"flat","EE001","EE001",726,"median_ppm2",1801
"tallinn",2020,"flat","EE001","EE001",784,"median_ppm2",2056
"viimsi vald",2020,"flat","EE001","EE001",890,"median_ppm2",1761
"haademeeste vald",2020,"flat","EE004","EE004",214,"median_ppm2",300
"haapsalu linn",2020,"flat","EE004","EE004",184,"median_ppm2",795
"hiiumaa vald",2020,"flat","EE004","EE004",205,"median_ppm2",340
"kihnu vald",2020,"flat","EE004","EE004",303,"median_ppm2",320
"laanenigula vald",2020,"flat","EE004","EE004",441,"median_ppm2",143
"laaneranna vald",2020,"flat","EE004","EE004",430,"median_ppm2",64
"muhu vald",2020,"flat","EE004","EE004",478,"median_ppm2",301
"parnu linn",2020,"flat","EE004","EE004",624,"median_ppm2",1201
"pohjaparnumaa vald",2020,"flat","EE004","EE004",638,"median_ppm2",136
"ruhnu vald",2020,"flat","EE004","EE004",689,"median_ppm2",320
"saarde vald",2020,"flat","EE004","EE004",712,"median_ppm2",114
"saaremaa vald",2020,"flat","EE004","EE004",714,"median_ppm2",866
"tori vald",2020,"flat","EE004","EE004",809,"median_ppm2",609
"vormsi vald",2020,"flat","EE004","EE004",907,"median_ppm2",320
"antsla vald",2020,"flat","EE008","EE008",142,"median_ppm2",46
"elva vald",2020,"flat","EE008","EE008",171,"median_ppm2",449
"jogeva vald",2020,"flat","EE008","EE008",247,"median_ppm2",230
"kambja vald",2020,"flat","EE008","EE008",283,"median_ppm2",1493
"kanepi vald",2020,"flat","EE008","EE008",284,"median_ppm2",110
"kastre vald",2020,"flat","EE008","EE008",291,"median_ppm2",720
"luunja vald",2020,"flat","EE008","EE008",432,"median_ppm2",1496
"mulgi vald",2020,"flat","EE008","EE008",480,"median_ppm2",101
"mustvee vald",2020,"flat","EE008","EE008",486,"median_ppm2",122
"noo vald",2020,"flat","EE008","EE008",528,"median_ppm2",678
"otepaa vald",2020,"flat","EE008","EE008",557,"median_ppm2",324
"peipsiaare vald",2020,"flat","EE008","EE008",586,"median_ppm2",334
"pohjasakala vald",2020,"flat","EE008","EE008",615,"median_ppm2",206
"poltsamaa vald",2020,"flat","EE008","EE008",618,"median_ppm2",142
"polva vald",2020,"flat","EE008","EE008",622,"median_ppm2",433
"rapina vald",2020,"flat","EE008","EE008",708,"median_ppm2",115
"rouge vald",2020,"flat","EE008","EE008",698,"median_ppm2",108
"setomaa vald",2020,"flat","EE008","EE008",732,"median_ppm2",90
"tartu linn",2020,"flat","EE008","EE008",793,"median_ppm2",1591
"tartu vald",2020,"flat","EE008","EE008",796,"median_ppm2",1584
"torva vald",2020,"flat","EE008","EE008",824,"median_ppm2",144
"valga vald",2020,"flat","EE008","EE008",855,"median_ppm2",152
"viljandi linn",2020,"flat","EE008","EE008",897,"median_ppm2",802
"viljandi vald",2020,"flat","EE008","EE008",899,"median_ppm2",239
"voru linn",2020,"flat","EE008","EE008",919,"median_ppm2",580
"voru vald",2020,"flat","EE008","EE008",917,"median_ppm2",192
"haljala vald",2020,"flat","EE009","EE006",191,"median_ppm2",332
"jarva vald",2020,"flat","EE009","EE006",255,"median_ppm2",106
"kadrina vald",2020,"flat","EE009","EE006",272,"median_ppm2",397
"kehtna vald",2020,"flat","EE009","EE006",293,"median_ppm2",164
"kohila vald",2020,"flat","EE009","EE006",317,"median_ppm2",875
"marjamaa vald",2020,"flat","EE009","EE006",503,"median_ppm2",250
"paide linn",2020,"flat","EE009","EE006",567,"median_ppm2",418
"rakvere linn",2020,"flat","EE009","EE006",663,"median_ppm2",734
"rakvere vald",2020,"flat","EE009","EE006",661,"median_ppm2",368
"rapla vald",2020,"flat","EE009","EE006",668,"median_ppm2",665
"tapa vald",2020,"flat","EE009","EE006",792,"median_ppm2",142
