"Year","Object","Location of the object","Indicator","Quarter","value"
"2008","..registered immovables with residental buildings","Jõgeva county","Value of transactions, euros","2nd quarter",783455
"2008","..registered immovables with residental buildings","Jõgeva county","Value of transactions, euros","3rd quarter",766218
"2008","..registered immovables with residental buildings","Jõgeva county","Value of transactions, euros","4th quarter",531984
"2008","..registered immovables with residental buildings","Järva county","Number of transactions","1st-4th quarters",149
"2008","..registered immovables with residental buildings","Järva county","Number of transactions","1st quarter",29
"2008","..registered immovables with residental buildings","Järva county","Number of transactions","2nd quarter",43
"2008","..registered immovables with residental buildings","Järva county","Number of transactions","3rd quarter",48
"2008","..registered immovables with residental buildings","Järva county","Number of transactions","4th quarter",29
"2008","..registered immovables with residental buildings","Järva county","Value of transactions, euros","1st-4th quarters",4584010
"2008","..registered immovables with residental buildings","Järva county","Value of transactions, euros","1st quarter",904190
"2008","..registered immovables with residental buildings","Järva county","Value of transactions, euros","2nd quarter",1572450
"2008","..registered immovables with residental buildings","Järva county","Value of transactions, euros","3rd quarter",1581584
"2008","..registered immovables with residental buildings","Järva county","Value of transactions, euros","4th quarter",525786
"2008","..registered immovables with residental buildings","Lääne county","Number of transactions","1st-4th quarters",100
"2008","..registered immovables with residental buildings","Lääne county","Number of transactions","1st quarter",24
"2008","..registered immovables with residental buildings","Lääne county","Number of transactions","2nd quarter",27
"2008","..registered immovables with residental buildings","Lääne county","Number of transactions","3rd quarter",31
"2008","..registered immovables with residental buildings","Lääne county","Number of transactions","4th quarter",18
"2008","..registered immovables with residental buildings","Lääne county","Value of transactions, euros","1st-4th quarters",4717544
"2008","..registered immovables with residental buildings","Lääne county","Value of transactions, euros","1st quarter",1575812
"2008","..registered immovables with residental buildings","Lääne county","Value of transactions, euros","2nd quarter",1302960
"2008","..registered immovables with residental buildings","Lääne county","Value of transactions, euros","3rd quarter",1352436
"2008","..registered immovables with residental buildings","Lääne county","Value of transactions, euros","4th quarter",486336
"2008","..registered immovables with residental buildings","Lääne-Viru county","Number of transactions","1st-4th quarters",235
"2008","..registered immovables with residental buildings","Lääne-Viru county","Number of transactions","1st quarter",62
"2008","..registered immovables with residental buildings","Lääne-Viru county","Number of transactions","2nd quarter",70
"2008","..registered immovables with residental buildings","Lääne-Viru county","Number of transactions","3rd quarter",57
"2008","..registered immovables with residental buildings","Lääne-Viru county","Number of transactions","4th quarter",46
"2008","..registered immovables with residental buildings","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",10409863
"2008","..registered immovables with residental buildings","Lääne-Viru county","Value of transactions, euros","1st quarter",2278815
"2008","..registered immovables with residental buildings","Lääne-Viru county","Value of transactions, euros","2nd quarter",3813033
"2008","..registered immovables with residental buildings","Lääne-Viru county","Value of transactions, euros","3rd quarter",2631834
"2008","..registered immovables with residental buildings","Lääne-Viru county","Value of transactions, euros","4th quarter",1686181
"2008","..registered immovables with residental buildings","Põlva county","Number of transactions","1st-4th quarters",79
"2008","..registered immovables with residental buildings","Põlva county","Number of transactions","1st quarter",17
"2008","..registered immovables with residental buildings","Põlva county","Number of transactions","2nd quarter",25
