"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Põlva county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",482.5
"2001","Ascending total","Pärnu county","Purchase-sale contracts total","Number of contracts",3024
"2001","Ascending total","Pärnu county","Purchase-sale contracts total","Value of contracts, thousand euros",57330.4
"2001","Ascending total","Pärnu county","Purchase-sale contracts of real estate","Number of contracts",2253
"2001","Ascending total","Pärnu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",47341.6
"2001","Ascending total","Pärnu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",788
"2001","Ascending total","Pärnu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",13317.5
"2001","Ascending total","Pärnu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",512
"2001","Ascending total","Pärnu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",11409.9
"2001","Ascending total","Pärnu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",887
"2001","Ascending total","Pärnu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",12891
"2001","Ascending total","Pärnu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",66
"2001","Ascending total","Pärnu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",9723.2
"2001","Ascending total","Pärnu county","Purchase-sale contracts of right of superficies","Number of contracts",9
"2001","Ascending total","Pärnu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",747.8
"2001","Ascending total","Pärnu county","Purchase-sale contracts of movable assets**","Number of contracts",762
"2001","Ascending total","Pärnu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",9241
"2001","Ascending total","Pärnu county","..purchase-sale contracts of residential buildings**","Number of contracts",199
"2001","Ascending total","Pärnu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",2449.7
"2001","Ascending total","Pärnu county","..purchase-sale contracts of dwellings**","Number of contracts",457
"2001","Ascending total","Pärnu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",3914.5
"2001","Ascending total","Pärnu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",106
"2001","Ascending total","Pärnu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",2876.8
"2001","Ascending total","Rapla county","Purchase-sale contracts total","Number of contracts",720
"2001","Ascending total","Rapla county","Purchase-sale contracts total","Value of contracts, thousand euros",8776
"2001","Ascending total","Rapla county","Purchase-sale contracts of real estate","Number of contracts",341
"2001","Ascending total","Rapla county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",5514.4
"2001","Ascending total","Rapla county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",113
"2001","Ascending total","Rapla county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1761.3
"2001","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",95
"2001","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1607.3
