date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15333936,house,,Norrtälje,6295000,629500,EUR,8,199,2017,31633.1658291457,SE_0188,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-8rum-solbacka-gard-norrtalje-kommun-junovagen-16-15333936,luca
2018-11-27,,,15334175,flat,,Stockholm,4350000,435000,EUR,4,80,1952,54375,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-4rum-arsta-stockholms-kommun-malgomajvagen-3,-2tr-15334175",luca
2018-11-27,,,15334115,house,,Sollentuna,6850000,685000,EUR,6,190,1977,36052.6315789474,SE_0163,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-6rum-tojnan-sollentuna-kommun-fjallvagen-14a-15334115,luca
2018-11-27,,,15334195,flat,,Stockholm,4995000,499500,EUR,3,66.5,1938,75112.7819548872,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-kungshomen-stockholms-kommun-arbetargatan-34,-2-tr-15334195",luca
2018-11-27,,,15333615,flat,,Solna,2495000,249500,EUR,2,49,2018,50918.3673469388,SE_0184,,SE110,TRUE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-ulriksdal-solna-kommun-banmastargatan-10,-3tr-15333615",luca
2018-11-27,,,15334156,flat,,Sigtuna,1495000,149500,EUR,3,75,,19933.3333333333,SE_0191,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-marsta-valsta-sigtuna-kommun-frejgatan-47,-1-tr-15334156",luca
2018-11-27,,,15334275,flat,,Stockholm,2795000,279500,EUR,1,30,1927,93166.6666666667,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-sodermalm-sofo-stockholms-kommun-ringvagen-155-c-15334275,luca
2018-11-27,,,15333696,flat,,Stockholm,3750000,375000,EUR,3,72,1949,52083.3333333333,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-hammarbyhojden-stockholms-kommun-bastadsvagen-5-15333696,luca
2018-11-27,,,15334355,flat,,Stockholm,5950000,595000,EUR,3,70,1906,85000,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-vasastan-stockholms-kommun-vidargatan-2,-1tr-15334355",luca
2018-11-27,,,15333837,flat,,Solna,2850000,285000,EUR,2,49,1947,58163.2653061224,SE_0184,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-rasunda-solna-kommun-sodra-langgatan-35b-15333837,luca
2018-11-27,,,13459455,house,,Ekerö,9975000,997500,EUR,9,302,1981,33029.8013245033,SE_0125,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-9rum-ekero-narlunda-ekero-kommun-kallvagen-6-13459455,luca
2018-11-27,,,15334375,flat,,Stockholm,4250000,425000,EUR,2,44,1891,96590.9090909091,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-vasastan-norrmalm-stockholms-kommun-tulegatan-21,-4-tr-15334375",luca
2018-11-27,,,15333636,flat,,Tyresö,4495000,449500,EUR,5,117,2018,38418.8034188034,SE_0138,,SE110,TRUE,,https://www.hemnet.se/bostad/bostadsratt-5rum-farmarstigen-tyreso-kommun-brf-myntan-15333636,luca
